python full_graph.py --dataset-root /home/ksadowski/datasets/ --dataset ogbn-products --lr 0.021542537754776225 --hidden-feats 256 --num-layers 4 --aggregator-type mean --batch-norm --input-dropout 0.1 --dropout 0.3 --activation relu --test-validation
Epoch: 118 Train Loss: 0.26 Valid Loss: 0.31 Train Score: 0.9260 Valid Score: 0.9160 Train Epoch Time: 48.11 Valid Epoch Time: 14.73
Epoch: 119 Train Loss: 0.26 Valid Loss: 0.31 Train Score: 0.9265 Valid Score: 0.9160 Train Epoch Time: 48.08 Valid Epoch Time: 14.76
Epoch: 120 Train Loss: 0.26 Valid Loss: 0.31 Train Score: 0.9275 Valid Score: 0.9165 Train Epoch Time: 48.25 Valid Epoch Time: 14.73
Epoch: 121 Train Loss: 0.26 Valid Loss: 0.31 Train Score: 0.9270 Valid Score: 0.9163 Train Epoch Time: 48.11 Valid Epoch Time: 14.72
Epoch: 122 Train Loss: 0.26 Valid Loss: 0.31 Train Score: 0.9279 Valid Score: 0.9169 Train Epoch Time: 48.14 Valid Epoch Time: 14.69
Epoch: 123 Train Loss: 0.25 Valid Loss: 0.31 Train Score: 0.9276 Valid Score: 0.9179 Train Epoch Time: 48.14 Valid Epoch Time: 14.75
Epoch: 124 Train Loss: 0.25 Valid Loss: 0.31 Train Score: 0.9280 Valid Score: 0.9179 Train Epoch Time: 48.15 Valid Epoch Time: 14.76
Epoch: 125 Train Loss: 0.25 Valid Loss: 0.31 Train Score: 0.9281 Valid Score: 0.9175 Train Epoch Time: 48.14 Valid Epoch Time: 14.77
Epoch: 126 Train Loss: 0.25 Valid Loss: 0.31 Train Score: 0.9277 Valid Score: 0.9175 Train Epoch Time: 48.05 Valid Epoch Time: 14.82
Epoch: 127 Train Loss: 0.25 Valid Loss: 0.31 Train Score: 0.9288 Valid Score: 0.9178 Train Epoch Time: 48.06 Valid Epoch Time: 14.70
Epoch: 128 Train Loss: 0.25 Valid Loss: 0.31 Train Score: 0.9287 Valid Score: 0.9181 Train Epoch Time: 48.08 Valid Epoch Time: 14.70
Epoch: 129 Train Loss: 0.25 Valid Loss: 0.31 Train Score: 0.9291 Valid Score: 0.9178 Train Epoch Time: 48.09 Valid Epoch Time: 14.69
Epoch: 130 Train Loss: 0.25 Valid Loss: 0.31 Train Score: 0.9292 Valid Score: 0.9183 Train Epoch Time: 48.31 Valid Epoch Time: 14.73
Epoch: 131 Train Loss: 0.25 Valid Loss: 0.31 Train Score: 0.9292 Valid Score: 0.9173 Train Epoch Time: 48.05 Valid Epoch Time: 14.78
Epoch: 132 Train Loss: 0.25 Valid Loss: 0.31 Train Score: 0.9293 Valid Score: 0.9186 Train Epoch Time: 48.11 Valid Epoch Time: 14.83
